species,id,status
beilschmiedia_gaboonensis,144240400,Least Concern
beilschmiedia_mannii,62020015,Least Concern
beilschmiedia_minutiflora,145283349,Least Concern
beilschmiedia_pierreana,145288778,Least Concern
beilschmiedia_zenkeri,145296164,Least Concern
belonophora_coffeoides,174411550,Least Concern
belonophora_coriacea,,
belonophora_wernhamii,,
berlinia_auriculata,62021066,Least Concern
berlinia_bracteosa,62021075,Least Concern
berlinia_bruneelii,103849107,Least Concern
berlinia_confusa,62021125,Least Concern
berlinia_congolensis,103849291,Least Concern
berlinia_craibiana,103849572,Least Concern
berlinia_grandiflora,62021182,Least Concern
berlinia_occidentalis,33464,Vulnerable
berlinia_phenacoa,103851211,Least Concern
berlinia_tomentella,,
bersama_abyssinica,146298209,Least Concern
bertiera_congolana,,
bertiera_globiceps,143724196,Least Concern
bertiera_naucleoides,,
bertiera_racemosa,156107924,Least Concern
bertiera_retrofracta,,
bertiera_subsessilis,,
bikinia_coriacea,116858643,Vulnerable
bikinia_durandii,32084,Least Concern
bikinia_evrardii,116858734,Least Concern
bikinia_grisea,116858754,Least Concern
bikinia_media,116858813,Least Concern
bikinia_pellegrinii,116858841,Least Concern
blighia_sapida,146420481,Least Concern
blighia_unijugata,146448311,Least Concern
blighia_welwitschii,146420535,Least Concern
bobgunnia_fistuloides,33061,Least Concern
bombax_buonopozense,144306050,Least Concern
bombax_costatum,156108889,Least Concern
borassus_aethiopum,195913,Least Concern
boscia_angustifolia,,
boscia_salicifolia,146187866,Least Concern
bosqueiopsis_gilletii,,
boswellia_dalzielii,,
boutiquea_platypetala,39475,Vulnerable
brachystegia_cynometroides,19892051,Least Concern
brachystegia_laurentii,62021407,Least Concern
brachystegia_mildbraedii,62021427,Least Concern
brazzeia_congoensis,174486136,Least Concern
brazzeia_soyauxii,170114838,Least Concern
brenandendron_donianum,143717609,Least Concern
brenandendron_titanophyllum,,
brenania_brieyi,,
breonadia_salicina,61957613,Least Concern
bridelia_atroviridis,,
bridelia_ferruginea,153940591,Least Concern
bridelia_grandis,61956489,Least Concern
bridelia_micrantha,61956569,Least Concern
bridelia_scleroneura,153942489,Least Concern
brucea_antidysenterica,153944265,Least Concern
brucea_guineensis,,
buchholzia_coriacea,173367217,Least Concern
buchnerodendron_speciosum,,
bussea_occidentalis,144303342,Least Concern
buxus_acutata,,
caloncoba_crepiniana,,
caloncoba_echinata,154155255,Least Concern
caloncoba_flagelliflora,,
caloncoba_gilgiana,170048421,Least Concern
caloncoba_glauca,,
caloncoba_lophocarpa,,
caloncoba_welwitschii,143656617,Least Concern
calpocalyx_brevibracteatus,144267453,Least Concern
calpocalyx_dinklagei,144264861,Least Concern
